respondent_id,age_group,gender,country,city,education_level,years_experience,domain_role,tech_primary,tech_secondary,salary_inr,employment_type,company_size,remote_work,job_satisfaction,work_life_balance,tools_used,languages_known,certification_count,projects_count,overtime_frequency,tenure_years,promotion_last_year,hours_per_week,industry,managers_count,team_size,performance_score,survey_year,comments
12,35-44,Male,India,Bengaluru,PhD,7,Software Engineer,Excel,Tableau,641624,Freelance,51-200,On-site,3,2,"Azure, Spark, None, Python",Python,5,4,Always,0.5,No,48,Education,1,14,2,2021,Learning a lot
13,18-24,Female,India,Hyderabad,Bachelors,12,ML Engineer,Python,AWS,1530304,Intern,5000+,On-site,2,2,"Excel, Spark",SQL,5,10,Often,8.0,Yes,38,Finance,5,4,4,2021,Looking to switch
14,45-54,Female,India,Chennai,Bachelors,3,Data Scientist,SQL,Tableau,889765,Part-time,1001-5000,Hybrid,3,1,"Tableau, Azure, Spark","Python, Scala, R",1,8,Never,1.2,No,41,Consulting,2,14,5,2021,Looking to switch
15,35-44,Male,India,Delhi,PhD,3,Software Engineer,Python,TensorFlow,665861,Part-time,201-1000,Hybrid,1,3,"None, SQL, R","Scala, Java, R",3,9,Always,1.4,No,51,Retail,5,24,2,2023,Looking to switch
16,35-44,Female,India,Hyderabad,PhD,0,Software Engineer,R,TensorFlow,500000,Freelance,1001-5000,Hybrid,4,2,"Excel, SQL, R, Tableau",SQL,5,9,Rarely,8.1,Yes,30,IT,1,16,5,2021,Looking to switch
17,25-34,Other,India,Delhi,PhD,10,BI Analyst,Power BI,Azure,809890,Part-time,1-50,Remote,4,2,"Azure, AWS",C++,1,3,Often,1.4,No,51,Education,4,20,3,2024,Satisfied
18,45-54,Male,India,Delhi,PhD,6,Software Engineer,Power BI,AWS,915608,Part-time,201-1000,On-site,4,2,"AWS, SQL, R","R, Scala",2,2,Rarely,1.6,No,52,Finance,5,7,1,2024,Looking to switch
19,45-54,Female,India,Bengaluru,Bachelors,8,ML Engineer,Power BI,Azure,1316224,Full-time,5000+,Hybrid,4,1,"R, Spark, TensorFlow","Java, SQL",2,13,Often,0.4,No,51,Consulting,3,24,2,2024,Stressful
20,18-24,Female,India,Pune,Diploma,8,Software Engineer,Python,None,884712,Part-time,1001-5000,Remote,1,3,"Tableau, Power BI, AWS, None","Java, R, Scala",2,2,Often,0.3,Yes,60,Healthcare,1,21,1,2021,Good place
21,18-24,Other,India,Hyderabad,Bachelors,3,Data Scientist,SQL,Azure,891619,Full-time,5000+,Remote,4,3,"Excel, TensorFlow, SQL","R, Python",4,0,Sometimes,5.8,No,42,Consulting,1,3,5,2022,Good place
22,18-24,Other,India,Kolkata,Diploma,10,ML Engineer,Excel,TensorFlow,1330740,Freelance,1-50,On-site,3,1,"AWS, SQL, Spark, Tableau","Scala, SQL, Java, Python",5,8,Always,8.1,No,44,Retail,5,19,3,2023,Stressful
23,45-54,Male,India,Kolkata,PhD,4,Data Analyst,R,TensorFlow,655160,Intern,201-1000,Remote,4,3,"AWS, Power BI","R, Scala, C++",4,8,Always,0.2,Yes,32,Finance,5,14,4,2022,Looking to switch
24,18-24,Male,India,Chennai,Bachelors,7,BI Analyst,Power BI,None,701615,Freelance,5000+,Hybrid,4,5,"Spark, Azure, Tableau","Scala, Java, R",2,8,Rarely,1.3,Yes,40,IT,5,18,2,2022,Stressful
25,35-44,Male,India,Kolkata,Bachelors,4,BI Analyst,Excel,Spark,624600,Part-time,201-1000,Remote,5,2,"Python, None, Azure","Scala, SQL, Java",0,0,Always,2.9,No,44,Healthcare,1,2,3,2024,Good place
26,45-54,Male,India,Pune,Diploma,6,Data Analyst,SQL,Spark,741316,Freelance,1-50,Remote,1,5,"TensorFlow, None, Power BI, Spark","Java, R, Scala, SQL",4,1,Always,9.6,Yes,60,Finance,5,7,3,2021,Stressful
27,18-24,Male,India,Bengaluru,PhD,2,Data Scientist,Power BI,None,817832,Intern,201-1000,Remote,2,3,"AWS, SQL, Power BI","Scala, C++, SQL",3,3,Always,2.3,Yes,59,Healthcare,1,3,1,2022,Learning a lot
28,35-44,Female,India,Bengaluru,PhD,11,Software Engineer,Excel,None,1010158,Freelance,5000+,On-site,4,4,TensorFlow,Java,5,10,Always,2.6,Yes,37,Consulting,4,19,1,2023,Satisfied
29,25-34,Female,India,Pune,PhD,12,Data Analyst,Excel,Spark,1100320,Intern,1001-5000,Remote,4,3,"Tableau, None, SQL, Excel","Java, Scala, R",5,12,Always,0.5,Yes,40,Healthcare,2,4,4,2021,Satisfied
30,18-24,Male,India,Pune,Masters,6,BI Analyst,R,Azure,815916,Intern,1-50,Remote,3,5,"R, AWS","Python, Scala, SQL, R",1,9,Always,0.2,No,32,Finance,0,15,1,2022,Looking to switch
31,35-44,Female,India,Kolkata,PhD,8,ML Engineer,Power BI,Spark,1249480,Part-time,1001-5000,Remote,5,5,"SQL, R","R, C++, Scala, Python",2,9,Always,5.8,No,57,Finance,3,18,4,2023,Learning a lot
32,45-54,Female,India,Chennai,Bachelors,12,Software Engineer,SQL,TensorFlow,1041176,Part-time,1001-5000,Remote,3,4,"Spark, Excel, AWS, Python","C++, Scala",2,3,Often,1.1,No,30,Consulting,1,14,2,2021,Looking to switch
33,45-54,Other,India,Bengaluru,Masters,5,ML Engineer,R,Azure,1053760,Intern,5000+,Remote,5,1,"None, R","Scala, Python",3,3,Never,4.5,No,58,IT,0,11,1,2023,Learning a lot
34,25-34,Male,India,Pune,PhD,6,ML Engineer,R,None,1040800,Part-time,51-200,Remote,5,4,"AWS, TensorFlow","SQL, Java",5,8,Often,2.6,Yes,58,Retail,2,22,5,2022,Good place
35,35-44,Other,India,Mumbai,Masters,5,BI Analyst,Power BI,AWS,615275,Intern,1001-5000,Remote,2,4,"TensorFlow, R, None",Scala,3,8,Never,5.7,Yes,59,Education,5,16,3,2022,Satisfied
36,25-34,Other,India,Chennai,Bachelors,3,ML Engineer,Python,None,1037074,Full-time,201-1000,Hybrid,1,5,"Excel, SQL, R","Scala, Java, SQL",1,4,Always,8.8,No,46,Education,2,27,2,2023,Looking to switch
37,35-44,Male,India,Mumbai,Diploma,11,ML Engineer,SQL,Spark,1557553,Intern,5000+,Hybrid,1,4,R,Java,2,8,Always,3.9,No,33,Consulting,1,16,1,2023,Satisfied
38,18-24,Other,India,Kolkata,PhD,10,Data Scientist,Excel,None,1167580,Full-time,51-200,Remote,1,3,"SQL, None, Power BI, Excel","Java, R, Scala, C++",5,4,Often,6.6,No,49,Retail,2,2,3,2022,Looking to switch
39,35-44,Male,India,Delhi,Masters,3,BI Analyst,R,None,580518,Full-time,1001-5000,Hybrid,2,1,"SQL, Power BI, Python, Azure","SQL, Scala, C++",0,6,Always,2.2,Yes,40,Finance,4,1,3,2022,Stressful
40,25-34,Male,India,Delhi,Diploma,4,Software Engineer,SQL,Tableau,673908,Part-time,5000+,Hybrid,1,2,"Python, Excel, Spark",Scala,0,15,Often,7.8,Yes,44,Education,1,20,1,2023,Looking to switch
41,45-54,Female,India,Mumbai,Diploma,0,Data Analyst,Power BI,None,400000,Full-time,1-50,Hybrid,5,2,Excel,"C++, Scala, R",3,9,Often,5.1,No,33,Consulting,0,28,5,2022,Looking to switch
42,45-54,Female,India,Kolkata,PhD,3,BI Analyst,Power BI,Azure,653445,Full-time,201-1000,Hybrid,3,3,"Excel, AWS, SQL",Python,0,13,Never,7.5,No,55,Finance,4,2,5,2023,Good place
43,45-54,Other,India,Bengaluru,Masters,5,BI Analyst,R,AWS,665225,Full-time,5000+,On-site,2,2,"Power BI, SQL, Tableau, Azure",R,4,7,Often,8.5,Yes,49,Consulting,5,9,1,2022,Learning a lot
44,35-44,Male,India,Hyderabad,Bachelors,5,ML Engineer,R,None,1081325,Full-time,51-200,On-site,1,1,"Spark, None","R, SQL, Scala, C++",5,10,Always,6.0,Yes,34,Finance,4,2,1,2023,Looking to switch
45,45-54,Female,India,Chennai,Bachelors,7,BI Analyst,R,Tableau,748347,Intern,1-50,Hybrid,5,4,"Python, Power BI, Spark",Python,1,9,Rarely,7.7,No,39,Healthcare,0,1,4,2024,Stressful
46,25-34,Other,India,Pune,Masters,6,Data Scientist,Python,Azure,1111780,Full-time,1001-5000,Remote,4,1,"TensorFlow, Spark, None","R, Python, Java, C++",2,5,Always,4.7,No,32,Retail,0,8,4,2024,Satisfied
47,35-44,Other,India,Chennai,Bachelors,6,Data Analyst,Excel,Spark,550030,Full-time,5000+,On-site,2,3,"None, Excel, Power BI",SQL,2,6,Rarely,6.1,Yes,35,Consulting,3,15,5,2024,Satisfied
48,35-44,Male,India,Mumbai,Diploma,5,Software Engineer,Power BI,Azure,806890,Freelance,201-1000,On-site,1,3,R,"Java, Python, C++, SQL",6,9,Never,6.5,Yes,49,Education,4,13,4,2021,Looking to switch
49,25-34,Female,India,Pune,PhD,10,Software Engineer,R,Spark,740540,Intern,1-50,Hybrid,1,5,"Python, Power BI","Java, C++, SQL, Scala",2,9,Often,4.1,No,51,Education,0,26,3,2021,Learning a lot
50,45-54,Female,India,Chennai,Bachelors,8,Data Analyst,Excel,Tableau,865520,Part-time,201-1000,Hybrid,4,2,R,"Scala, R, SQL, C++",5,2,Often,5.1,Yes,41,Healthcare,1,7,3,2024,Stressful
51,25-34,Male,India,Chennai,Diploma,2,Data Scientist,R,TensorFlow,836814,Full-time,201-1000,On-site,2,5,"Excel, None, TensorFlow, Azure","Python, Java, R, C++",5,7,Often,6.1,No,37,Education,1,10,4,2022,Learning a lot
52,45-54,Female,India,Kolkata,PhD,7,Software Engineer,R,TensorFlow,832059,Part-time,51-200,On-site,2,3,None,"R, C++, Python, Scala",6,3,Sometimes,0.9,Yes,38,Retail,4,5,4,2021,Stressful
53,18-24,Female,India,Bengaluru,PhD,5,BI Analyst,R,AWS,627255,Intern,1-50,Hybrid,2,1,"SQL, Tableau, Excel","Python, R",6,15,Rarely,7.6,No,44,Education,0,29,1,2021,Learning a lot
54,45-54,Male,India,Kolkata,Masters,2,Data Scientist,SQL,AWS,755970,Full-time,51-200,Hybrid,5,4,SQL,"C++, Scala, Python, R",4,7,Rarely,3.0,Yes,49,Healthcare,1,19,4,2022,Good place
55,18-24,Other,India,Pune,Diploma,5,Software Engineer,Power BI,Azure,614265,Intern,201-1000,Hybrid,1,3,Tableau,"Scala, Python",6,10,Rarely,0.5,No,56,Consulting,1,27,4,2024,Stressful
56,45-54,Male,India,Chennai,Bachelors,1,Data Scientist,Python,Spark,722746,Freelance,201-1000,On-site,4,5,"R, Python, Power BI, None","Python, R, C++",0,11,Often,8.9,No,58,Retail,2,6,4,2024,Learning a lot
57,18-24,Other,India,Mumbai,Diploma,4,Software Engineer,Power BI,TensorFlow,627304,Freelance,201-1000,Remote,1,3,"R, AWS, Spark","Scala, Java",2,14,Never,7.3,No,49,Retail,2,21,1,2021,Looking to switch
58,25-34,Male,India,Hyderabad,PhD,8,ML Engineer,Python,Spark,1045248,Part-time,201-1000,Hybrid,4,5,TensorFlow,"Scala, Java",2,11,Often,7.7,Yes,46,Healthcare,3,11,3,2022,Good place
59,25-34,Female,India,Pune,PhD,11,Data Analyst,R,Tableau,808705,Freelance,1001-5000,Remote,5,3,"Power BI, SQL, Excel, TensorFlow","SQL, Java, Python, R",6,10,Sometimes,7.1,No,58,Healthcare,1,23,2,2023,Satisfied
60,25-34,Male,India,Hyderabad,PhD,1,Data Scientist,Python,AWS,756308,Freelance,1001-5000,On-site,2,5,SQL,"Java, Scala, C++",6,13,Always,0.8,No,50,IT,3,15,5,2023,Stressful
61,25-34,Male,India,Mumbai,Diploma,10,Software Engineer,Python,TensorFlow,800280,Freelance,51-200,Remote,3,2,"Azure, R, SQL","SQL, C++, R",1,9,Always,5.4,Yes,48,Education,1,6,5,2023,Satisfied
62,18-24,Male,India,Delhi,Masters,0,Data Analyst,SQL,TensorFlow,400000,Full-time,1001-5000,On-site,5,3,"AWS, Power BI, Spark","Java, Python, C++",1,14,Often,4.9,Yes,40,Education,1,11,3,2023,Looking to switch
63,35-44,Other,India,Pune,Diploma,12,Data Scientist,Excel,Spark,1306840,Full-time,201-1000,Hybrid,2,2,Python,"Java, C++, Scala",1,5,Sometimes,9.3,No,36,Finance,3,17,4,2024,Learning a lot
64,18-24,Female,India,Pune,PhD,0,BI Analyst,SQL,Spark,450000,Freelance,1-50,Remote,3,4,"R, Azure, Python, SQL","SQL, R, C++, Scala",2,1,Often,0.6,Yes,41,Education,2,3,4,2024,Satisfied
65,18-24,Male,India,Bengaluru,PhD,9,ML Engineer,Excel,AWS,1359022,Freelance,51-200,Remote,5,5,"Azure, Python, TensorFlow, None","Scala, R",6,15,Always,4.6,Yes,40,Education,2,6,4,2023,Satisfied
66,45-54,Other,India,Pune,Masters,8,ML Engineer,Power BI,Tableau,1203120,Freelance,1-50,Hybrid,5,3,TensorFlow,"R, C++, SQL, Scala",0,15,Rarely,5.3,No,34,Consulting,1,2,5,2021,Stressful
67,35-44,Female,India,Hyderabad,PhD,7,Data Analyst,SQL,Azure,770209,Intern,1-50,On-site,2,5,"Azure, Tableau","C++, Java, R, Python",3,10,Always,3.6,No,49,Retail,1,8,3,2023,Stressful
68,35-44,Other,India,Hyderabad,PhD,12,ML Engineer,Excel,Azure,1364308,Freelance,201-1000,Remote,5,5,"Spark, Tableau, Excel, R",R,5,2,Sometimes,9.2,No,53,Retail,1,7,5,2023,Satisfied
69,18-24,Other,India,Delhi,Bachelors,2,ML Engineer,SQL,Tableau,977796,Part-time,51-200,Remote,1,4,"AWS, SQL, Excel",C++,1,13,Often,4.8,Yes,54,Healthcare,2,10,1,2021,Satisfied
70,18-24,Male,India,Mumbai,Bachelors,8,Data Scientist,Python,Azure,1119720,Part-time,201-1000,Remote,1,3,Tableau,"Java, C++, Scala",1,14,Sometimes,2.0,Yes,40,Finance,5,15,3,2022,Good place
71,35-44,Other,India,Delhi,Bachelors,12,ML Engineer,SQL,TensorFlow,1592308,Intern,1001-5000,On-site,3,1,"None, SQL, Excel, Azure","R, SQL, Python, C++",3,7,Often,7.6,No,39,Education,5,19,1,2023,Learning a lot
72,18-24,Female,India,Chennai,Bachelors,0,Data Scientist,Power BI,None,700000,Freelance,1-50,On-site,3,3,"Power BI, Excel","SQL, Java, R, Scala",5,15,Always,8.0,Yes,54,Finance,5,25,5,2021,Satisfied
73,35-44,Male,India,Pune,Diploma,8,BI Analyst,Python,TensorFlow,875016,Part-time,5000+,On-site,2,2,"Azure, AWS, SQL","Scala, C++",3,2,Always,4.5,Yes,44,Finance,4,14,4,2021,Satisfied
74,35-44,Other,India,Bengaluru,PhD,10,BI Analyst,Excel,Tableau,1138770,Part-time,5000+,Remote,1,4,"SQL, Azure, Python",Java,0,9,Often,1.9,Yes,54,Consulting,5,21,4,2023,Looking to switch
75,45-54,Male,India,Delhi,Bachelors,6,BI Analyst,Excel,Tableau,640176,Intern,5000+,Remote,2,1,R,"Scala, C++, Java, R",3,7,Rarely,4.7,Yes,38,Finance,5,25,1,2021,Looking to switch
76,18-24,Male,India,Hyderabad,Diploma,12,Software Engineer,Python,TensorFlow,766400,Intern,5000+,On-site,1,2,Spark,"SQL, C++, Scala, Python",1,9,Rarely,8.2,No,48,Education,5,27,3,2022,Learning a lot
77,25-34,Female,India,Chennai,Masters,10,Data Scientist,Python,TensorFlow,1287750,Part-time,1001-5000,On-site,4,1,"None, Spark, Azure","Scala, Java, C++",1,9,Often,1.9,No,37,Finance,2,28,2,2024,Good place
78,45-54,Other,India,Pune,Bachelors,6,Software Engineer,Power BI,Spark,720266,Part-time,201-1000,On-site,1,4,"SQL, Azure, Power BI",R,3,1,Never,2.0,Yes,45,Finance,2,10,1,2022,Stressful
79,45-54,Male,India,Delhi,Bachelors,11,Data Analyst,Power BI,Spark,1017991,Freelance,201-1000,Hybrid,4,5,"R, None, Tableau","Java, Python, Scala, SQL",1,11,Sometimes,4.2,Yes,53,Finance,0,9,5,2024,Learning a lot
80,35-44,Male,India,Mumbai,Bachelors,3,Data Scientist,Power BI,TensorFlow,888700,Freelance,201-1000,Hybrid,4,4,"Tableau, Excel","Scala, C++",3,5,Always,9.9,Yes,46,IT,0,27,1,2021,Looking to switch
81,25-34,Male,India,Delhi,Bachelors,10,Data Scientist,Python,Spark,1231430,Intern,201-1000,Remote,5,5,"None, AWS, Python, Azure","Python, Scala, R, Java",2,0,Always,8.2,No,55,Finance,0,30,1,2022,Stressful
82,35-44,Female,India,Chennai,PhD,9,Data Scientist,Python,AWS,1119481,Intern,5000+,Remote,2,3,None,Python,3,12,Often,5.6,Yes,50,IT,5,6,1,2024,Looking to switch
83,18-24,Other,India,Bengaluru,Bachelors,9,ML Engineer,SQL,None,1364296,Intern,201-1000,Remote,1,3,Excel,"Python, SQL, C++",6,12,Never,3.1,Yes,48,Retail,5,29,5,2023,Looking to switch
84,18-24,Other,India,Delhi,Masters,12,Data Scientist,Python,Tableau,1283740,Part-time,1-50,Hybrid,5,5,"Tableau, Python, R, AWS","SQL, R, Java, Scala",1,12,Never,7.7,No,55,Finance,5,3,1,2023,Stressful
85,25-34,Other,India,Mumbai,Masters,11,BI Analyst,Excel,Tableau,735967,Full-time,201-1000,Hybrid,3,3,Excel,SQL,3,14,Always,5.6,No,33,IT,0,12,5,2021,Satisfied
86,35-44,Female,India,Bengaluru,Masters,12,Software Engineer,Power BI,Azure,806600,Part-time,5000+,On-site,2,4,"Excel, R","R, Java, SQL",0,5,Often,2.8,No,45,IT,2,9,2,2024,Satisfied
87,45-54,Male,India,Hyderabad,Masters,3,Software Engineer,Python,Azure,625316,Intern,201-1000,Hybrid,3,4,"R, Tableau","Java, R",1,12,Sometimes,3.0,No,60,Education,1,11,4,2023,Looking to switch
88,25-34,Other,India,Pune,Bachelors,1,ML Engineer,R,Tableau,917658,Intern,51-200,Hybrid,3,1,"None, AWS, Excel, R","R, SQL",5,13,Often,0.8,No,48,Retail,4,17,4,2021,Learning a lot
89,18-24,Male,India,Kolkata,Bachelors,9,Software Engineer,Excel,Spark,1061609,Full-time,5000+,On-site,4,3,"SQL, Python, None, R","C++, Scala",4,7,Often,3.8,No,54,Consulting,4,23,5,2022,Learning a lot
90,18-24,Female,India,Mumbai,Diploma,7,Data Analyst,Python,None,604988,Freelance,201-1000,Hybrid,4,2,"Tableau, AWS, SQL, TensorFlow","R, Python, Scala, C++",6,3,Never,8.5,Yes,51,Finance,5,8,5,2022,Satisfied
91,45-54,Female,India,Hyderabad,PhD,5,Data Scientist,SQL,Spark,1009870,Intern,1001-5000,Remote,5,2,"TensorFlow, Spark, None, Python","SQL, R",6,2,Always,1.1,Yes,41,Healthcare,1,15,1,2023,Looking to switch
92,35-44,Other,India,Mumbai,PhD,10,Software Engineer,R,Tableau,928010,Freelance,1001-5000,On-site,2,3,None,"R, Python",1,9,Never,1.9,Yes,46,Retail,3,20,2,2024,Looking to switch
93,25-34,Other,India,Hyderabad,PhD,7,Data Scientist,Excel,Spark,925827,Freelance,1001-5000,On-site,1,3,AWS,"SQL, Java",4,15,Often,6.9,No,52,Retail,3,6,1,2021,Stressful
94,35-44,Male,India,Pune,Masters,0,ML Engineer,SQL,Azure,850000,Intern,5000+,On-site,1,5,R,"C++, Python, Java",4,6,Often,1.1,Yes,39,IT,3,9,3,2021,Looking to switch
95,25-34,Male,India,Kolkata,Masters,12,Data Analyst,R,None,976720,Part-time,5000+,Remote,2,2,TensorFlow,"C++, R, SQL",2,9,Sometimes,5.8,Yes,34,Retail,0,9,2,2022,Stressful
96,35-44,Male,India,Kolkata,PhD,11,Data Scientist,Power BI,Spark,1336262,Freelance,1001-5000,Hybrid,4,1,Spark,"Scala, R, Java",3,10,Always,0.1,Yes,53,Retail,5,22,3,2021,Satisfied
97,45-54,Male,India,Mumbai,Masters,3,BI Analyst,Excel,AWS,576405,Part-time,5000+,Hybrid,3,1,SQL,"Python, Scala, SQL, Java",3,0,Often,2.1,Yes,58,Consulting,2,6,3,2021,Learning a lot
98,35-44,Other,India,Delhi,Bachelors,1,ML Engineer,Python,Azure,910999,Freelance,51-200,Hybrid,1,1,Power BI,"Python, SQL, C++, R",5,14,Never,0.2,No,56,IT,3,23,2,2024,Good place
99,18-24,Other,India,Kolkata,Diploma,6,Data Scientist,Python,AWS,964528,Freelance,51-200,Hybrid,2,2,Azure,C++,5,5,Often,3.6,Yes,50,Consulting,1,30,4,2024,Stressful
100,25-34,Male,India,Pune,PhD,1,Data Analyst,Excel,Azure,440611,Part-time,51-200,Hybrid,1,2,"Python, R, Power BI","Scala, Java",2,1,Rarely,5.0,Yes,37,Retail,5,20,1,2021,Learning a lot
101,45-54,Other,India,Mumbai,Masters,2,ML Engineer,R,None,912644,Intern,1-50,Remote,5,1,R,"Python, Scala",6,12,Always,2.9,No,43,Consulting,3,3,5,2022,Learning a lot
102,18-24,Other,India,Hyderabad,Bachelors,4,Data Analyst,R,AWS,582424,Full-time,201-1000,On-site,4,2,Power BI,Java,0,14,Always,6.1,No,51,Consulting,5,24,2,2021,Good place
103,18-24,Male,India,Mumbai,Masters,11,Data Scientist,R,TensorFlow,1439596,Freelance,51-200,Hybrid,2,3,Python,"Java, R, Python",2,2,Often,4.6,No,31,Retail,4,6,3,2022,Learning a lot
104,18-24,Male,India,Delhi,Diploma,9,Data Analyst,Python,Tableau,724234,Full-time,1001-5000,Hybrid,4,2,"Python, Azure","SQL, R, Scala, Java",5,10,Sometimes,8.3,No,33,Education,5,29,1,2022,Stressful
105,45-54,Male,India,Mumbai,Masters,0,Software Engineer,Excel,AWS,500000,Intern,1-50,Hybrid,2,3,"TensorFlow, Power BI, AWS","C++, Java, SQL",5,7,Rarely,0.2,No,30,Finance,4,12,1,2023,Good place
106,35-44,Male,India,Hyderabad,Bachelors,11,BI Analyst,Power BI,Azure,713175,Part-time,201-1000,Remote,1,2,"Tableau, AWS, SQL, Azure","Scala, Java",0,1,Often,6.7,Yes,37,Healthcare,2,28,3,2024,Learning a lot
107,35-44,Male,India,Bengaluru,Bachelors,7,ML Engineer,SQL,TensorFlow,1039987,Part-time,1-50,Remote,4,4,"Spark, SQL, Azure","SQL, Java, R",3,8,Never,1.0,No,56,Consulting,5,20,1,2022,Learning a lot
108,25-34,Female,India,Mumbai,Diploma,1,Data Scientist,Excel,AWS,731394,Full-time,1001-5000,Hybrid,5,5,"SQL, AWS",SQL,0,0,Never,8.3,Yes,34,Finance,3,12,1,2023,Good place
109,25-34,Other,India,Mumbai,Bachelors,1,Data Analyst,Python,AWS,428029,Full-time,1001-5000,Remote,2,5,"Spark, AWS, Python, None","SQL, R, Scala, Python",2,8,Often,8.8,Yes,49,Education,4,8,3,2024,Looking to switch
110,18-24,Male,India,Chennai,PhD,7,Software Engineer,SQL,Azure,731497,Part-time,5000+,Remote,4,3,"Azure, AWS, Tableau, None","R, SQL, Python, C++",4,7,Never,9.0,No,31,Retail,4,12,5,2022,Stressful
111,25-34,Female,India,Pune,Diploma,3,Data Analyst,SQL,TensorFlow,536365,Freelance,51-200,Remote,2,5,"Tableau, TensorFlow, Python","C++, Scala, SQL",4,6,Often,5.5,Yes,45,IT,0,2,2,2022,Good place
112,18-24,Female,India,Pune,Bachelors,7,Software Engineer,SQL,AWS,968895,Part-time,201-1000,Remote,1,2,"SQL, Azure","Python, R, Java",4,3,Sometimes,3.1,Yes,35,Consulting,3,26,4,2023,Stressful
113,35-44,Male,India,Delhi,Bachelors,11,Software Engineer,Power BI,AWS,1249133,Freelance,51-200,Remote,1,5,"TensorFlow, Python, Excel, Tableau","Scala, C++",0,15,Rarely,3.4,Yes,37,Healthcare,2,6,1,2023,Looking to switch
114,25-34,Male,India,Delhi,Diploma,4,Data Analyst,Excel,AWS,508320,Full-time,1-50,Hybrid,4,4,"Spark, AWS","R, C++, Java, Python",6,15,Always,6.5,Yes,35,Retail,0,26,1,2023,Good place
115,18-24,Male,India,Chennai,Bachelors,4,ML Engineer,Power BI,Spark,1121884,Full-time,5000+,Remote,3,5,"Python, Spark, Excel, TensorFlow","Python, Scala",2,6,Rarely,4.2,No,51,Healthcare,2,8,1,2021,Looking to switch
116,45-54,Male,India,Bengaluru,Masters,8,Software Engineer,Python,Azure,705936,Freelance,5000+,Hybrid,2,1,Power BI,"Scala, R",0,15,Never,3.2,No,45,Retail,5,9,1,2024,Stressful
117,35-44,Male,India,Mumbai,Diploma,6,ML Engineer,Excel,Azure,1152868,Freelance,51-200,Hybrid,5,1,"None, SQL",Scala,2,13,Always,2.4,Yes,56,Retail,4,14,5,2024,Satisfied
118,35-44,Male,India,Mumbai,Diploma,7,Data Scientist,R,TensorFlow,1077090,Part-time,1-50,Hybrid,2,2,"Power BI, Excel",Java,0,13,Rarely,10.0,Yes,56,Education,2,11,1,2021,Looking to switch
119,35-44,Female,India,Pune,PhD,6,Software Engineer,Python,None,864992,Intern,1-50,Hybrid,2,2,SQL,R,6,11,Often,2.7,No,48,Education,3,2,2,2023,Looking to switch
